QuestionID,entailment_score,contradiction_score,obligation_coverage_score,composite_score
9e0c4acb-c6a4-4a4e-88dc-78c47319b264,0.05184,0.48754,0.0,0.1881
a4c19a0e-9a0f-4a0a-8d0a-8f7f3f9d3b11,0.03526,0.42088,0.0,0.20479
7f5e6f8a-0c5b-4c1a-9e2f-2b7a2c3d4e55,0.59031,0.08022,0.0,0.50336
c3d2b1a9-5e6f-4a7b-8c9d-1e2f3a4b5c66,0.26382,0.04342,0.3333333333333333,0.51791
f4e3d2c1-b0a9-4f8e-9d7c-6b5a4e3d2c77,0.97925,0.98634,0.0,0.33097
9b8a7c6d-5e4f-4d3c-8b2a-1f0e9d8c7b88,0.75513,0.63016,1.0,0.70832
e1d2c3b4-a5f6-4789-9abc-0def12345678,0.92772,0.04892,1.0,0.9596
ffbe2b4a-8bc0-4e3f-9e7d-74278b47e8e4,0.80676,0.65374,0.16666666666666666,0.4399
4f3edbc7-dbd2-4767-b6e2-25f789c59e7b,0.34486,0.36919,0.2222222222222222,0.3993
1ddda59c-cc5f-4a48-8b3b-b473e7c1b772,0.09489,0.51009,0.0,0.19493
5eaa77f2-c28e-44a4-9fd5-35d0a3d68ec9,0.07792,0.07932,0,0.33287
a7f51a0a-3d41-4e36-b80b-7f9c24a9ec11,0.00916,0.80002,0.0,0.06971
ae30f85f-d3f8-4b9c-9a65-87e3c9b7d1b2,0.3823,0.06158,0,0.44024
60d32e4a-6b13-4416-b32d-f6e20d6c1977,0.00525,0.96116,0.08333333333333333,0.04247
ee9b01a1-4586-43cf-8f34-98bfbab558b5,0.06194,0.40823,0.0,0.2179
7c3f60a7-36b3-4ce5-9e54-4e74eb0b4229,0.64242,0.80646,0.1111111111111111,0.31569
fe07cb6d-2279-4ff9-a1cb-b9869b2472b3,0.31348,0.68326,0.45454545454545453,0.36159
eb38a01a-b3b2-4ff8-bc1a-812e775b8fd6,0.00457,0.27665,0.0,0.24264
61d98d87-6f90-43e5-9e35-633445e50a24,0.04883,0.60541,0.0,0.14781
16a6e28e-bbea-4c6b-bf15-2a9e1a95815d,0.64893,0.75156,0.0,0.29912
b64d3b35-70a7-43d9-933b-040c0c71bb3d,0.87269,0.84583,0.5,0.50895
c39e71d5-5185-4f9d-8d5f-dfae97b11bc9,0.33922,0.57913,0.0,0.25336
57b84fd5-3640-4f3e-8a7a-32e40fd3f36c,0.48972,0.48141,0.0,0.3361
c94e1e8e-3de8-49c4-a251-82d3c16d4725,0.35376,0.96575,0.2608695652173913,0.21629
a879f4c2-07b3-4f89-9467-68e5c721b967,0.42125,0.80177,0.25,0.28983
b5a9c6b4-d96f-46dc-a5b1-41ff8473b283,0.93435,0.03678,0.3333333333333333,0.74363
a3c2d8b5-fc5e-4eab-b15d-cf726e239a88,0.0,0.0,0.0,0.0
aa72b3b1-d75e-4264-870f-dc26f836d0e1,0.97164,0.48789,0.0,0.49458
b33b64db-5dfb-4f31-bad5-3ec9875d2481,0.02094,0.17597,0.0,0.28166
ef9a33dc-46d2-49eb-bb71-71d3c6a3d7f4,0.24307,0.381,0.5,0.45402
f17e0ae2-703e-4c2c-923a-5bfe2b23a41a,0.83389,0.33948,0.4,0.63147
fa64bb42-8f3a-4a1f-8a9a-9f91a38f1735,0.63866,0.16738,0.0,0.49043
c61a7f33-76d5-42d7-8a9c-42744f76fc3d,0.00322,0.02112,0.0,0.32737
e4b4e315-92d9-4ef8-a33b-1b6fa10d6a2e,0.67054,0.86742,0.0,0.26771
e30c9f45-1cb3-4e18-91c2-1ff37a8a86a3,0.07125,0.86622,0.2153846153846154,0.14014
abf3f139-3dc4-49f5-bf22-c7a46b54ab22,0.12473,0.7494,0.0,0.12511
3f692e86-d266-47e7-94f4-6e75e00cd5cf,0.74685,0.52808,0.0,0.40626
ea3d7a9b-891b-4c27-88e9-15b5153a91f9,0.01386,0.229,0.0,0.26162
79db790a-bbb9-4e4f-87a7-0b2f4c5c5c1b,0.00791,0.33867,0.0,0.22308
3b74b311-bb48-4c72-8a26-d7a6170b3341,0.31378,0.95314,0.6842105263157895,0.34828
e19162dc-b896-4db8-b37c-8c217b7285a0,0.03677,0.25808,0.0,0.25956
3c53cf86-7329-4e91-8e6b-99f2e251ac16,0.88503,0.62324,0.2857142857142857,0.51583
79b6ad93-c22e-4c4a-9677-3b6e0e9f15b7,0.00393,0.03498,0.0,0.32298
b7c3e5a1-bd38-4f49-967b-3baf0e9f2e31,0.97355,0.01359,0.0,0.65332
f91851b8-bc6e-4e6b-9285-88b23ad4dc71,0.19667,0.15718,0.0,0.3465
a9f10c15-502a-40b5-92d0-123cc3e6b471,0.00685,0.00775,1.0,0.66637
d5b9a5c7-7058-4e85-8c13-4051aef76813,0.66233,0.00801,0.0,0.55144
a76f6a47-3983-42cc-9e61-5e1d07963d22,0.99526,0.50753,0.0,0.49591
4cbfbd3b-2b57-46cf-9217-5eb6e57b7a98,0.45616,0.58234,0.0,0.29127
25f6e011-51db-4b94-9d76-70edb6df5452,0.16759,0.18079,0.0,0.32893
d8b3ef4a-d1cc-47b5-b48f-c56f8a2d3c99,0.22454,0.42396,0.125,0.30853
e42b63aa-47af-48cd-82f5-3f07c6b1651a,0.16883,0.88786,0.025,0.10199
b296b21c-4df3-4a21-9e5e-3cb125ba3b63,0.00888,0.01833,0.125,0.37185
a2ad3f6d-43c7-45fc-a6b3-90bdb4acfd3d,0.87535,0.05887,0.3333333333333333,0.7166
2f6370ce-c2a0-47df-802f-8435bce97b9f,0.42424,0.26986,0.22727272727272727,0.46055
41dd9efb-bc1d-42d9-a808-7b9d25f0cf9f,0.2597,0.3048,0.0,0.3183
f8d5e31f-0f9f-4031-9a4b-2e12e7834f62,0.17812,0.29557,0.0,0.29418
8496d73c-5f8a-4b91-8e2e-8f2198b0ad8e,0.7528,0.67512,0.25,0.44256
aa6e678f-fcc9-4f7a-a759-293a4d2f68cf,0.97313,0.09107,0.0,0.62735
5f0b27b9-b6e3-4cb3-9a1a-59a93f09f38f,0.00676,0.31465,0.0,0.2307
a183fae9-7ed0-4e4a-8b0f-406d27a517b2,0.25112,0.24679,0.0,0.33478
3f61e45e-86e8-4d3a-9a7c-885b4d7ecbc3,0.74259,0.64418,0.0,0.36614
c5cf0419-1f5c-43d2-9789-912a0869d0a9,0.16372,0.40083,0.0,0.2543
9c0f4a10-511e-48d2-8f57-dad5ce53fc54,0.66708,0.95087,0.3333333333333333,0.34985
d34ce19c-39b1-40bb-b768-193d11b2e6e3,0.00515,0.88293,0.0,0.04074
91e17e0c-b8b0-49cf-a3e8-bb9cf540f96a,0.35512,0.31868,0.25,0.42881
d1c7de33-ecb4-4a8e-9a6e-f2daebd8db65,0.17854,0.28385,0.0,0.29823
fbef5b15-4993-4f8d-89d7-0bcbda4f324b,0.68143,0.68739,0.08695652173913043,0.36033
b84bc79d-bded-4b43-bc9a-bf0f0fbe0f7b,0.01361,0.02315,0.0,0.33015
59c9857e-d3ac-4cb3-bf7f-bf202a37f964,0.00861,0.26871,0.0,0.24663
1d8e3951-15bb-4f24-bf40-60d99c8faac2,0.03781,0.36117,0.0,0.22555
8a7a94a9-2f45-45c2-8c16-68b7b2731f4f,0.01136,0.66363,0.2,0.18258
c7b1e4e4-0c9b-4eac-9133-4a8e93b57c15,0.47933,0.2329,0.0,0.41548
f0a76c6b-7dc3-44da-a5b7-8d7e5f7a7329,0.03014,0.35045,0.5,0.39323
38c7f61a-f28d-4c2f-b187-b8a88efcf8a5,0.4512,0.31285,0.07692307692307693,0.40509
44ad9f16-5e9e-4cf1-b9c2-5d7efc4f7f77,0.41617,0.57393,0.125,0.32241
60f7e45b-182b-47b5-9058-7b58ac64e21b,0.42798,0.77193,0.0,0.21868
aee7f9aa-2a5e-4c4c-a099-7c0b0e5049de,0.59185,0.66198,0.0,0.30996
0a0ff334-02c9-4e7c-8d8a-f4ff60d6a3b1,0.00269,0.91265,0.0,0.03001
15502719-091a-4d2a-8bb3-c682a995d1eb,0.38002,0.66917,0.2727272727272727,0.32786
19cefd9b-9e40-4e9c-bde3-08c64c4e7b35,0.20166,0.98671,0.2,0.13832
a44e7b9f-7ed2-49a3-8c42-4e2b9dcf12b9,0.66024,0.54435,0.25,0.4553
dcdf3180-40e0-47db-943c-1b1577b76055,0.40629,0.16174,0.25,0.49818
b3f15232-f5a1-4f26-99e7-8b8f7028a2c2,0.52851,0.028,0.0,0.50017
d7d95f42-6353-4b6f-8b8c-67f42f47ce2a,0.2822,0.24822,0.0,0.34466
d2857cb1-efb0-4645-b715-b15e3b3e4922,0.67832,0.59291,0.0,0.3618
59af3c07-70a8-457f-b33c-3d44c5d819a1,0.42155,0.07751,0.0,0.44801
b97ab3e5-ec4e-4f14-8a93-2267823c2ad4,0.02328,0.30869,0.19230769230769232,0.3023
2a61b7f1-9729-4c13-8e9a-cbff10f59c1d,0.01529,0.22042,1.0,0.59829
f826ed4b-6da2-4b1c-942a-8b9f1195e9e7,0.82012,0.73012,0.0,0.36333
d19b02e0-f0fd-4cb2-bcbf-b9330b44197a,0.14257,0.79886,0.0,0.11457
e61b08c3-1a6c-41ce-8b2c-217fca17d6cb,0.68804,0.84575,0.38461538461538464,0.40897
c413eb9c-b601-4e65-a9a7-236af2468721,0.00384,0.11758,0.0,0.29542
d9675e2e-d13f-46ee-aed4-8dc868a48e4f,0.64121,0.41236,0.4,0.54295
8cb7d6a1-fc47-4a90-9d38-d8ffce8c3fcb,0.00293,0.23694,0.0,0.25533
19a6efb9-2b7a-4f85-86dc-5f879bdbcd77,0.65772,0.10536,0.0,0.51745
7eecbaf2-c63e-4ea7-a8a7-839fb4e3224a,0.56449,0.76779,0.0,0.26557
9699ac89-f1ec-49e3-a4de-8f12fa3fcdee,0.33322,0.73665,0.2,0.26552
edb9dd2d-931c-48f5-9108-4512634ee8f8,0.28617,0.37379,0,0.30413
ac64b0a1-b2c3-4226-8b09-bc6ab75056ef,0.41352,0.52823,0.3333333333333333,0.40621
7cd47bb3-c874-4982-a31e-41b8a4d75556,0.1321,0.17128,0.0,0.32027
a7c47dc3-24b2-48f4-bb7a-8dd2d2f3c7e2,0.76442,0.52663,0.4,0.54593
d7c4f8c2-5936-4b79-9db0-2e42cf57c5d5,0.58605,0.6079,0.11363636363636363,0.36393
f3c0d5b5-40c3-4048-bd76-8cc9d1e8ff4f,0.60224,0.67596,0.0,0.30876
fae43e9c-31d8-4d9b-8802-d8cb9447e703,0.4502,0.09539,0.0,0.4516
ad7877c3-92cf-421b-b96c-dfe7c11b9f3b,0.15982,0.49782,0.25,0.304
28e7b5de-2a7d-48bb-ae82-2d4efc1de292,0.05531,0.90828,0.0,0.04901
be48f13b-f9c1-4cf8-a6eb-3b274b60d125,0.38855,0.08229,0.0,0.43542
91a47a3f-c32d-4eac-a6c4-9dc6a3b153b7,0.05116,0.09057,0.0,0.3202
e02d5b1c-d87e-4a09-a750-f8a94c30e57b,0.68828,0.41588,0.0,0.42413
ba18e6a7-0d77-4bc5-bdf5-41e8b28a1e7d,0.66099,0.6594,0.16666666666666666,0.38942
9a3df37f-8f58-49dc-9a67-f078a1de5942,0.00605,0.2973,0,0.23625
b91cf1ac-cc41-4f58-a36b-7a37a0ff72ef,0.00418,0.01492,0,0.32975
ba9c6d33-d8c2-46c7-9021-745be0af8db2,0.25768,0.52917,0.0,0.24284
d4eaa908-2c1c-4e3f-9a42-7867fbd22c72,0.01051,0.02989,0.0,0.32687
3f451aa7-41a2-4b5c-9a3c-542e52e49ff2,0.0098,0.45806,0.0,0.18391
cf24bdb5-42b8-46df-9987-8e1a2cbbab0a,0.05065,0.35667,0.0,0.23133
31b41848-22ba-4b62-bb68-dfd8698a1b14,0.02907,0.45745,0.4,0.32387
0b4d3089-bb08-415b-a7f3-382c27e84c72,0.58572,0.46504,0.4,0.50689
b2f6cd55-29de-4898-9a1b-3e51125d7038,0.70745,0.00557,1.0,0.90063
6c3cb6aa-2a59-45db-8b31-02c9a2b79e11,0.70713,0.72407,0.0,0.32769
7b7a1e0d-3f5e-49a4-9b8d-7d4e31a1a8e2,0.00692,0.21182,0.0,0.26503
c6a8e3a7-1a2b-40c3-9d8b-6f1e3e6c2c0b,0.66134,0.25606,0.0,0.46843
9d5a6b1c-2c4f-4b16-8e8e-1c7d9b2a9f34,0.25144,0.84322,0.0,0.13607
e1d2f3a4-b5c6-47d8-9e0f-123456789abc,0.18296,0.45505,0.0,0.24264
f8b2a1d3-4c5e-4d2a-8b1f-2e3c4d5f6a7b,0.20279,0.24418,0.0,0.31954
a3c4e5f6-7890-4a1b-9c2d-3e4f5a6b7c8d,0.37183,0.94972,0.0,0.1407
0f1e2d3c-4b5a-4a6f-8c7d-9e0f1a2b3c4d,0.00189,0.01378,0,0.32937
5a6b7c8d-9e0f-4a1b-8c2d-3e4f5a6b7c8d,0.64001,0.98585,0.0,0.21805
d4e5f6a7-b8c9-4d0e-9f1a-2b3c4d5e6f70,0.01411,0.49887,0.0,0.17175
1a2b3c4d-5e6f-47a8-9b0c-1d2e3f4a5b6c,0.06966,0.00595,0.0,0.35457
4f8a76b3-77fb-4d65-bcb4-60c250f6a6bb,0.64825,0.00576,0.0,0.5475
6c1f2e89-cac4-4fc2-b8b2-fb177d422b2b,0.66217,0.00534,0.0,0.55228
1bde5523-144d-4a5c-87b2-fc90cf7302e8,0.14844,0.37965,0.0,0.25626
02cb39b9-0a2c-4f64-8fc2-1ee58801fc89,0.01013,0.00873,0.0,0.3338
b687bb8e-d8ea-45f2-9b9c-00e243b5cf14,0.44279,0.29332,0.2,0.44982
5c16cf0b-292d-4f73-970c-6cc7cc3b70ff,0.01253,0.28109,0.0,0.24381
4f2da6ef-f509-4045-96ce-90e511a2b85c,0.59822,0.47246,0.07142857142857142,0.39906
b3d8e963-bdb8-4a9f-8c62-fb3f7e52eb25,0.14201,0.56158,0.5714285714285714,0.38395
d8f99df6-d016-42d3-810a-2510713274fc,0.16244,0.04735,0.0,0.3717
e9e8bfe5-88d4-4a9d-9c65-f768d2bfa3b4,0.67776,0.2886,0.0,0.46305
b739d179-0043-4a6d-94a7-40e828c8d38e,0.60315,0.39353,0.0,0.40321
0db5ad33-377e-4b91-a8e9-98f04bfb9cc3,0.71677,0.58123,0.2,0.44518
a164f3f8-579a-4f3a-bf0a-98cd44d4a9b3,0.00691,0.96751,0.0,0.01313
c6b8e21e-2275-4a4e-9724-8ee94d1ab70f,0.42263,0.45225,0.3333333333333333,0.43457
84c7908d-b258-48a3-bad8-03a740b4d0c9,0.965,0.02297,0.0,0.64734
6f3a8d0d-8a8e-4d9e-b0fb-2f0d4a4f7b33,0.41007,0.49656,0.16666666666666666,0.36006
d9bbdc7d-1c4f-4b9e-a372-f49c17475ef6,0.26282,0.97595,0.0,0.09562
63de9b3e-3107-4e6b-9b8a-6f3cb68c6b6c,0.00868,0.49154,0.0,0.17238
cba871a2-6b3c-49e2-9e5e-22b7dc8e1b34,0.63253,0.66768,0.0,0.32162
14c9c6b8-6a38-44f7-9a23-56c83fd8c9a2,0.10479,0.30257,0.0,0.26741
4acb7ef7-97f1-4a29-89f5-17d77ec4fc07,0.98729,0.88358,0.25,0.45124
c2ff23bb-1b88-49a9-8f6c-7600c7f7e889,0.31964,0.09507,0,0.40819
1f7a90d1-71a1-46c0-81f3-c36e40d2ad5c,0.48864,0.50281,0.5,0.49528
76179b2c-19a9-49d8-9689-cc5d8e0e787d,0.4785,0.03686,1.0,0.81388
7a4acb2e-64ff-4f48-823c-4cd3a5b7e197,0.66607,0.66808,0.2857142857142857,0.4279
fc39c20b-5e2b-46cf-9587-4e7342f6f8cb,0.12497,0.45895,0.0,0.22201
ea9635b0-1d1a-4c35-9a5d-8e83a61c31ab,0.21256,0.43898,0.3333333333333333,0.36897
9c2b0e6e-4d1e-4c09-9a7a-4e5f2f0f9f77,0.01486,0.23449,0,0.26012
7c727b41-7f39-4b97-8ea4-7eb425c07ac2,0.51232,0.71212,0.25,0.35007
91ff6c54-b7ab-4a83-944a-c93a2b5f17d1,0.04359,0.36981,0.0,0.22459
4a56b1cf-6d98-4b71-b248-819a04b9a5ff,0.85587,0.04159,0,0.60476
d9b2ef63-cc47-4c27-8af2-8573f08730f4,0.20765,0.32917,0.0,0.29283
52a0f148-3a4e-4d93-8e25-948c94394a9e,0.38566,0.67221,0.0,0.23782
b7fd6a20-89b0-4a31-b8c5-74362de4c9ef,0.04976,0.42842,0.05555555555555555,0.22563
e8cc7a7b-f9e7-4b62-8231-13e53498ed8d,0.97336,0.02369,0.0,0.64989
64dcbd2c-3f39-4591-9920-2c55f9d85e62,0.04802,0.32903,0.0,0.23966
8df9b5f7-b55c-4b0c-8080-6ac3bb7c6a5e,0.97921,0.76434,0.0,0.40496
1c3dbd0f-d404-490b-8b63-12ab90e0f230,0.48897,0.36932,0.3333333333333333,0.48433
7a3e57c1-f4e4-46f9-950e-173f40c1f31a,0.94678,0.0236,1.0,0.97439
86bfa59c-3458-45c4-9acb-d30f09d2e769,0.00582,0.64463,0.0,0.1204
7b7a8c1c-7bff-42e6-8df2-4cd0b5b1d3c2,0.54238,0.63103,0.0,0.30378
6fbf3f0a-4f6a-4f26-8a1c-0d4a0a1b9e7d,0.99147,0.10977,0.0,0.62723
d8c2a4d7-1d2e-4b16-8e0b-8b3c9f5c9b22,0.00584,0.49982,0.0,0.16867
b2f1f5a9-3a4c-4f77-9a30-1a6f7f9e2e0c,0.0132,0.78771,0.0,0.07516
0b6d9e2a-3f1a-4c9e-8bfa-2c0c9a6f6d33,0.10916,0.16974,0.0,0.31314
4a7c2b0d-9e8f-43e0-8c3a-1d5a8e9c7b11,0.653,0.52676,0.0,0.37541
e1d4f3a2-5c6b-4f0a-8b7e-2f8c9e1a0d44,0.06636,0.3322,0.3,0.34472
2b5d7a9e-1f0c-4b4e-9c8d-3a1f2e7d6c55,0.39464,0.4234,0.1,0.35708
9c0e4f2a-3d7b-4a6b-8e2f-5a7d9c1b2e66,0.22231,0.66153,0.2,0.25359
f3a6b1d2-8c4e-4f0b-9e1d-7a2c5d4f6a77,0.47984,0.57608,0.0,0.30125
11b55c3b-27b7-472b-8e65-8432d13f218a,0.20728,0.43184,0.25,0.34181
eeb76852-3056-4b49-9c90-cad24b4b7bb0,0.0965,0.96934,0.3333333333333333,0.1535
1f9e8b0d-ecab-45cf-b3ed-1c20b4b7e234,0.46732,0.65557,0.4,0.40392
f03c02cc-7966-4565-9e41-f2e00c61b35c,0.73236,0.55108,0.0,0.39376
b478ae6c-cf12-40f9-912d-12b75ef44b7c,0.7816,0.94218,0.5,0.44647
a76a4c6f-c6b1-4a4e-9a12-97a2d83f6f7c,0.94516,0.42327,0.07142857142857142,0.53111
9b5a2a59-6cf6-4c0f-a86b-94d290e7fd39,0.92748,0.76493,0.0,0.38752
3e4b12ad-3e22-4a47-b05c-0a3dfb4b5e6d,0.78026,0.74197,0.0,0.3461
f7b6d841-f449-4dc2-8d7b-2e19f1c9d6bb,0.65172,0.50987,0.0,0.38062
b8c4a8f3-6f64-40ad-9a73-f9e5270d7489,0.37592,0.84638,0.23076923076923078,0.25344
93425ff7-6cf0-45d3-8263-19fbb4d53a07,0.19803,0.36782,0.0,0.27674
cb0a3e1e-dfb8-4ecf-a0b0-dc5c9ec8b77c,0.501,0.98332,1.0,0.50589
a2c6a663-9cdb-4f54-bb8f-4b0236b2a0d3,0.17346,0.20543,1.0,0.65601
5f9c8c3a-3a8f-49d1-9d94-7e0f6f0e4a2d,0.23233,0.97634,0.0,0.08533
8b3a9a1e-0e4a-4c7c-9c65-4e2fe1c1b1a2,0.01064,0.00972,0.0,0.33364
0e5a3d8a-8f5b-4a1d-9f6c-5f2f2f3f8c1e,0.41625,0.61438,0.0,0.26729
4f5c1d9d-1f6f-4a3a-9e5e-2a7f1d6a9cbb,0.32171,0.09505,0.0,0.40889
a1f2e3d4-5b6c-4789-9a0b-1c2d3e4f5a6b,0.26042,0.59445,0.0,0.22199
c7d1a2b3-4e5f-46a8-9d1c-8e2f3a4b5c6d,0.56824,0.47842,0.3333333333333333,0.47438
f2e4c6a8-9b0d-4c31-8a5e-2f7d9c1b3a4e,0.67002,0.53548,0.0,0.37818
